Code,Title,Rating,Rating Count
tt0995832,Generation Kill,8.4,"53,480"
tt2401256,The Night Of,8.4,"148,642"
tt1230180,The Angry Video Game Nerd,8.4,"15,149"
tt0047708,Alfred Hitchcock Presents,8.4,"17,289"
tt1710308,Regular Show,8.4,"43,939"
tt7472896,Mr Inbetween,8.4,"17,476"
tt13706018,SPY×FAMILY,8.4,"18,527"
tt3920596,Big Little Lies,8.4,"194,791"
tt2937900,The Knick,8.4,"48,525"
tt7278862,My Brilliant Friend,8.4,"14,825"
tt3895150,Your Lie in April,8.4,"28,651"
tt2433738,Wentworth,8.4,"22,236"
tt0472027,John Adams,8.4,"33,055"
tt0262150,Black Books,8.4,"58,681"
tt0103584,X-Men: The Animated Series,8.4,"43,087"
tt5675620,The Punisher,8.4,"229,988"
tt6958022,The Defiant Ones,8.4,"14,642"
tt1299368,Southland,8.4,"26,634"
tt6111552,Content Cop,8.4,"12,602"
tt0421291,Avrupa Yakasi,8.4,"18,729"
tt10155688,Mare of Easttown,8.4,"150,186"
tt0397150,Garth Marenghi's Darkplace,8.4,"18,380"
tt5249462,Erased,8.4,"45,760"
tt0988818,Gintama,8.4,"11,177"
tt7259746,Queer Eye,8.4,"18,877"
tt1298820,Clannad: After Story,8.4,"11,239"
tt0043208,I Love Lucy,8.4,"26,622"
