Code,Title,Season,Rating Mean,Episode Max,Rating,Rating Count,Rank
tt0096548,Blackadder Goes Forth,1,8.799999999999999,6,8.7,"43,009",61
tt0141842,The Sopranos,3,8.792307692307691,13,9.1,"249,831",13
tt1695360,The Legend of Korra,4,8.792307692307691,13,8.4,"85,000",216
tt5994364,Sseulsseulhago Chalranhashin: Dokkaebi,1,8.7875,16,8.5,"5,576",173
tt1856010,House of Cards,4,8.784615384615382,13,8.8,"427,947",54
tt0237123,Coupling,1,8.783333333333333,6,8.5,"40,032",161
tt0412142,House M.D.,4,8.78125,16,8.7,"373,151",71
tt7221388,Cobra Kai,1,8.78,10,8.7,"31,144",58
tt4269716,Umbre,1,8.775,8,8.5,"5,697",179
tt1632701,Suits,2,8.775,16,8.4,"324,466",226
tt1632701,Suits,3,8.774999999999999,16,8.4,"324,466",226
tt1124373,Sons of Anarchy,5,8.76923076923077,13,8.5,"229,299",194
tt0071075,The World at War,1,8.765384615384615,26,9.1,"18,147",14
tt5788792,The Marvelous Mrs. Maisel,2,8.760000000000002,10,8.7,"42,588",72
tt1124373,Sons of Anarchy,2,8.753846153846153,13,8.5,"229,299",194
tt0141842,The Sopranos,5,8.753846153846153,13,9.1,"249,831",13
tt0141842,The Sopranos,1,8.753846153846153,13,9.1,"249,831",13
tt2384811,Utopia,2,8.75,6,8.4,"35,230",227
tt1474684,Luther,3,8.75,4,8.5,"104,721",192
tt2303687,Line of Duty,4,8.749999999999998,6,8.5,"19,206",142
tt0237123,Coupling,3,8.742857142857144,7,8.5,"40,032",161
tt3398228,BoJack Horseman,5,8.741666666666665,12,8.5,"68,976",176
tt0417299,Avatar: The Last Airbender,2,8.74,20,9.1,"187,864",15
tt4189022,Ash vs Evil Dead,3,8.739999999999998,10,8.5,"56,307",204
tt0804503,Mad Men,4,8.73846153846154,13,8.6,"179,094",116
tt0141842,The Sopranos,2,8.73846153846154,13,9.1,"249,831",13
tt0903747,Breaking Bad,2,8.738461538461538,13,9.4,"1,185,584",5
