Key,Title,Season,Rating Mean,Number of Episodes
tt2701582,Endeavour,6,8.725000000000001,4
tt1586680,Shameless,6,8.725,12
tt1489428,Justified,3,8.723076923076922,13
tt0903747,Breaking Bad,3,8.723076923076922,13
tt2244495,The Eric Andre Show,4,8.720000000000002,10
tt6763664,The Haunting of Hill House,1,8.719999999999999,10
tt0141842,The Sopranos,6,8.719047619047618,21
tt0290978,The Office,2,8.716666666666667,6
tt0367279,Arrested Development,3,8.715384615384618,13
tt0979432,Boardwalk Empire,5,8.7125,8
tt2707408,Narcos,1,8.71,10
tt2788432,American Crime Story,1,8.709999999999999,10
tt0367279,Arrested Development,2,8.705555555555556,18
tt0108778,Friends,10,8.705555555555556,18
tt0237123,Coupling,2,8.7,9
tt4786824,The Crown,2,8.7,10
tt2297757,Nathan for You,4,8.7,8
tt1489428,Justified,2,8.692307692307692,13
tt0773262,Dexter,5,8.691666666666665,12
tt1632701,Suits,6,8.6875,16
tt2297757,Nathan for You,2,8.6875,8
tt0096657,Mr. Bean,1,8.686666666666666,15
tt0903747,Breaking Bad,1,8.685714285714285,7
tt1124373,Sons of Anarchy,6,8.684615384615386,13
tt5555260,This Is Us,1,8.683333333333334,18
tt2442560,Peaky Blinders,1,8.683333333333332,6
tt2244495,The Eric Andre Show,3,8.680000000000001,10
tt0475784,Westworld,1,8.679999999999998,10
tt1119644,Fringe,5,8.676923076923076,13
tt0086831,"Yes, Prime Minister",1,8.675,8
tt2701582,Endeavour,2,8.675,4
tt0203082,Samurai X: Trust and Betrayal,1,8.675,4
tt0081912,Only Fools and Horses....,7,8.672727272727274,11
tt5555260,This Is Us,3,8.672222222222224,18
tt4786824,The Crown,1,8.67,10
tt2861424,Rick and Morty,3,8.669999999999998,10
tt2707408,Narcos,3,8.669999999999998,10
tt0804503,Mad Men,5,8.669230769230767,13
tt1439629,Community,3,8.66818181818182,22
tt0129690,I'm Alan Partridge,1,8.666666666666666,6
tt0108778,Friends,5,8.6625,24
tt0098936,Twin Peaks,1,8.6625,8
tt2243973,Hannibal,1,8.661538461538463,13
tt0074006,"I, Claudius",1,8.661538461538463,13
tt2937900,The Knick,2,8.66,10
tt1831164,Leyla ile Mecnun,1,8.659999999999998,20
tt0303461,Firefly,1,8.657142857142858,14
tt1489428,Justified,4,8.653846153846153,13
tt0096639,Lonesome Dove,1,8.65,4
tt0979432,Boardwalk Empire,3,8.646153846153847,13
tt0412142,House M.D.,3,8.645833333333334,24
tt1606375,Downton Abbey,6,8.644444444444444,9
tt0200276,The West Wing,2,8.640909090909092,22
tt0264235,Curb Your Enthusiasm,7,8.639999999999999,10
tt1489428,Justified,5,8.63846153846154,13
tt1806234,Human Planet,1,8.637500000000001,8
tt1439629,Community,2,8.637499999999998,24
tt0182629,Rurouni Kenshin: Wandering Samurai,2,8.637142857142855,35
tt0098904,Seinfeld,8,8.636363636363637,22
tt0979432,Boardwalk Empire,2,8.633333333333335,12
tt4082744,Detectorists,3,8.633333333333333,6
tt5675620,The Punisher,2,8.630769230769234,13
tt1266020,Parks and Recreation,7,8.630769230769232,13
tt3230854,The Expanse,2,8.63076923076923,13
tt5834204,The Handmaid's Tale,2,8.63076923076923,13
tt0185906,Band of Brothers,1,8.63,10
tt0121955,South Park,8,8.62857142857143,14
tt0098904,Seinfeld,7,8.627272727272727,22
tt0118421,Oz,4,8.625,16
tt1474684,Luther,2,8.625,4
tt0412142,House M.D.,5,8.620833333333334,24
tt0384766,Rome,2,8.620000000000001,10
tt0129690,I'm Alan Partridge,2,8.616666666666667,6
tt0387199,Entourage,3,8.614999999999998,20
tt3920596,Big Little Lies,1,8.614285714285714,7
tt0118421,Oz,1,8.6125,8
tt4270492,Billions,4,8.61111111111111,9
tt2802850,Fargo,3,8.610000000000001,10
tt0348914,Deadwood,3,8.608333333333334,12
tt0348914,Deadwood,2,8.608333333333334,12
tt0773262,Dexter,3,8.608333333333334,12
tt0412142,House M.D.,2,8.608333333333333,24
tt0412142,House M.D.,6,8.604761904761903,21
tt0098904,Seinfeld,4,8.604347826086956,23
tt0098769,The Civil War,1,8.600000000000001,9
tt0264235,Curb Your Enthusiasm,6,8.600000000000001,10
tt4189022,Ash vs Evil Dead,1,8.600000000000001,10
tt1586680,Shameless,2,8.600000000000001,12
tt0386676,The Office,4,8.600000000000001,14
tt7078180,Violet Evergarden,1,8.6,14
tt5425186,Horace and Pete,1,8.6,10
tt0314979,Battlestar Galactica,1,8.6,2
tt2297757,Nathan for You,1,8.6,8
tt2303687,Line of Duty,2,8.6,6
tt0387764,Peep Show,4,8.6,6
tt0487831,The IT Crowd,5,8.6,1
tt5712554,The Grand Tour,3,8.592857142857143,14
tt2149175,The Americans,4,8.592307692307692,13
tt4270492,Billions,2,8.591666666666667,12
tt4189022,Ash vs Evil Dead,2,8.59,10
tt3718778,Over the Garden Wall,1,8.59,10
tt5753856,Dark,1,8.59,10
tt0118421,Oz,5,8.5875,8
tt0118421,Oz,6,8.5875,8
tt0098904,Seinfeld,5,8.585714285714285,21
tt1586680,Shameless,1,8.583333333333334,12
tt4093826,Twin Peaks,1,8.583333333333334,18
tt2049116,Gomorra: La serie,4,8.583333333333334,12
tt1266020,Parks and Recreation,3,8.581249999999999,16
tt8714904,Narcos: Mexico,1,8.58,10
tt4574334,Stranger Things,2,8.577777777777778,9
tt0200276,The West Wing,1,8.577272727272728,22
tt1856010,House of Cards,3,8.576923076923077,13
tt4270492,Billions,3,8.575000000000001,12
tt0098825,House of Cards,1,8.575,4
tt0979432,Boardwalk Empire,4,8.575,12
tt0386676,The Office,3,8.573913043478258,23
tt0080297,Tinker Tailor Soldier Spy,1,8.571428571428571,7
tt1533395,Life,1,8.570000000000002,10
tt0417373,The Venture Bros.,3,8.56923076923077,13
tt7259746,Queer Eye,3,8.5625,8
tt0417373,The Venture Bros.,2,8.561538461538463,13
tt6025022,Justice League Unlimited,2,8.56153846153846,13
tt0758745,Friday Night Lights,5,8.56153846153846,13
tt2937900,The Knick,1,8.559999999999999,10
tt0412142,House M.D.,1,8.55909090909091,22
tt1831164,Leyla ile Mecnun,2,8.556097560975605,41
tt1856010,House of Cards,1,8.553846153846154,13
tt6468322,Money Heist,1,8.553333333333335,15
tt1305826,Adventure Time,8,8.550000000000002,14
tt0080306,Yes Minister,3,8.55,8
tt2306299,Vikings,2,8.55,10
tt0118421,Oz,3,8.55,8
tt3428912,Happy Valley,2,8.549999999999999,6
tt1632701,Suits,1,8.549999999999999,12
tt6478318,Masum,1,8.549999999999999,8
tt0387199,Entourage,5,8.549999999999999,12
tt0108778,Friends,6,8.548,25
tt0995832,Generation Kill,1,8.542857142857144,7
tt1695360,The Legend of Korra,2,8.542857142857143,14
tt0121955,South Park,11,8.542857142857143,14
tt0387199,Entourage,2,8.542857142857143,14
tt0264235,Curb Your Enthusiasm,9,8.540000000000001,10
tt2433738,Wentworth,1,8.54,10
tt0994314,Kôdo giasu: Hangyaku no rurûshu,2,8.54,25
tt2149175,The Americans,3,8.538461538461538,13
tt0758745,Friday Night Lights,4,8.538461538461538,13
tt5555260,This Is Us,2,8.533333333333335,18
tt3428912,Happy Valley,1,8.533333333333333,6
tt1831164,Leyla ile Mecnun,3,8.53255813953488,43
tt5834204,The Handmaid's Tale,1,8.53,10
tt0472954,It's Always Sunny in Philadelphia,12,8.53,10
tt1606375,Downton Abbey,1,8.528571428571428,7
tt0187664,Spaced,2,8.528571428571428,7
